Title,IMDb Rating,Year,Certificates,Genre,Director,Star Cast,MetaScore,Duration (minutes),texto,embedding
Gladiator,8.5,2000,R,Action,Ridley Scott,David FranzoniJohn LoganWilliam Nicholson,67.0,155.0,Gladiator 8.5 2000 Action Ridley Scott David FranzoniJohn LoganWilliam Nicholson 67.0,"[-0.0414724163711071, -0.028137071058154106, -0.0554831326007843, -0.03430136293172836, -0.014222195371985435, 0.09871222823858261, 0.009996567852795124, 0.012835047207772732, 0.005342910531908274, 0.048523589968681335, 0.07033608853816986, -0.0361604318022728, -0.08296678960323334, 0.040650926530361176, -0.020250920206308365, 0.07553797960281372, 0.03880644217133522, 0.03627564385533333, 0.008830537088215351, 0.006968650501221418, 0.06321962177753448, -0.02029269002377987, 0.019253134727478027, 0.05501176044344902, -0.03159099817276001, -0.014939147979021072, 0.055377308279275894, 0.03266928717494011, -0.07563155144453049, -0.05506586655974388, -0.03495560213923454, 0.032281626015901566, -0.02292572148144245, -0.009308076463639736, 0.08814326673746109, -0.0011799094500020146, -0.07961859554052353, -0.04870879277586937, -0.059951212257146835, -0.02279428020119667, -0.016603389754891396, -0.0444529689848423, 0.09405925124883652, 0.06323391199111938, 0.015333857387304306, -0.020259249955415726, -0.04873514547944069, 0.017251795157790184, 0.1385887712240219, -0.023443646728992462, -0.07867571711540222, -0.04255765676498413, -0.031292833387851715, -0.06767230480909348, 0.01916838064789772, -0.012352831661701202, 0.015505692921578884, -0.028841590508818626, 0.05864953622221947, -0.02978576347231865, -0.012438805773854256, 0.022240521386265755, 0.0016200176905840635, -0.06349098682403564, 0.04419862478971481, -0.04079948365688324, -0.09172990173101425, -0.0891130194067955, -0.0025975171010941267, 0.012236651964485645, -0.015050326474010944, -0.00368239963427186, 0.038071438670158386, -0.09120423346757889, -0.028512679040431976, -0.11191357672214508, 0.02193656750023365, 0.08097293972969055, 0.007591245695948601, -0.08406247198581696, 0.054483819752931595, -0.13078950345516205, -0.0863724797964096, 0.05415668711066246, -0.013937924057245255, 0.03118881583213806, 0.03919109329581261, 0.034189943224191666, 0.033812299370765686, 0.07104520499706268, -0.06188603490591049, -0.010952018201351166, 0.06835054606199265, -0.017424726858735085, -0.03691059723496437, -0.029005376622080803, -0.04466789588332176, -0.0235594492405653, 0.010236320085823536, 0.020426511764526367, 0.054343003779649734, -0.12091688811779022, -0.03868464380502701, 0.04168771579861641, 0.015861820429563522, -0.009335664100944996, 0.002697959076613188, 0.042652931064367294, -0.018392587080597878, -0.07109398394823074, -0.07825859636068344, 0.018799221143126488, 0.04602817818522453, 0.11079438775777817, 0.048403508961200714, -0.008844071067869663, 0.019971374422311783, 0.01963348127901554, -0.023384416475892067, 0.03711628168821335, 0.09021357446908951, -0.021780185401439667, 0.008384219370782375, 0.04898286983370781, -0.01856858655810356, -0.01710594817996025, 0.009497398510575294, 6.341750880383962e-33, 0.05084918439388275, 0.025960367172956467, 0.07230775058269501, 0.007988173514604568, -0.021355722099542618, -0.07603324204683304, 0.04807104542851448, 0.014828193932771683, -0.09797472506761551, -0.04000402241945267, -0.05961998552083969, -0.014249567873775959, -0.1013806164264679, 0.04194264113903046, -0.04235587269067764, -0.037798427045345306, -0.019030358642339706, 0.06118489056825638, -0.0005169205833226442, -0.03335575759410858, -0.10940167307853699, 0.027959119528532028, -0.0592540018260479, -0.03339590132236481, -0.039577893912792206, 0.07341403514146805, -0.0536452978849411, -0.0003394843079149723, 0.08903621882200241, 0.017985397949814796, -0.015330560505390167, 0.044052135199308395, 0.05467400327324867, -0.0037285799626260996, 0.09670285880565643, -0.05653301253914833, -0.05585252493619919, -0.021678216755390167, -0.015521736815571785, 0.056608185172080994, -0.05138455703854561, 0.06132932007312775, -0.07685963809490204, -0.012907445430755615, -0.041245151311159134, -0.052459098398685455, 0.011140094138681889, 0.0811869278550148, 0.11147552728652954, 0.11361131817102432, 0.023603184148669243, 0.01444091834127903, -0.0071403468027710915, -0.05476479232311249, -0.09784191101789474, -0.05938888341188431, 0.06316226720809937, 0.024583950638771057, -0.03278673067688942, -0.06792771816253662, 0.007329048588871956, 0.11652907729148865, -0.008313385769724846, -0.05391693115234375, -0.03212403506040573, 0.02466002106666565, 0.0031512596178799868, -0.04055072367191315, 0.015151416882872581, 0.06609389185905457, -0.07057169824838638, -0.016780449077486992, 0.058606456965208054, -0.041214410215616226, 0.041107382625341415, -0.007699776440858841, -0.07936083525419235, 0.06953475624322891, -0.04399093985557556, -0.010558106005191803, -0.02645229920744896, 0.04611244425177574, -0.011869685724377632, -0.02739364095032215, 0.03746940195560455, -0.03743328899145126, -0.04782257229089737, -0.026492249220609665, 0.04054059460759163, 0.09421639889478683, 0.005225712899118662, -0.09993889182806015, 0.008525177836418152, 0.02043992653489113, -0.02759704738855362, -6.723948174874444e-33, -0.005367673002183437, -0.040019817650318146, -0.03348032012581825, 0.07109274715185165, 0.05765699967741966, 0.00221949047408998, -0.1656588762998581, 0.05419868603348732, 0.025722822174429893, -0.048297714442014694, 0.04275989904999733, 0.038187071681022644, 0.08338160067796707, 0.006148734129965305, 0.027672436088323593, -0.033799685537815094, 0.03341224044561386, -0.0035996739752590656, -0.05162787064909935, -0.06146073341369629, 0.04613417387008667, -0.04192579537630081, -0.001154610188677907, -0.06250913441181183, 0.06196260079741478, -0.01340338122099638, 0.014408228918910027, 0.09498637169599533, 0.0317094624042511, -0.029428215697407722, 0.024065598845481873, -0.026958554983139038, -0.025611253455281258, 0.04933123663067818, -0.020855404436588287, -0.006813966203480959, 0.05676386132836342, 0.009996030479669571, 0.015909558162093163, 0.002709346590563655, 0.006279729772359133, -0.02353316731750965, 0.04168935492634773, 0.08730116486549377, -0.04444824904203415, -0.004754506051540375, 0.05672254413366318, 0.0013633406488224864, -0.05010564997792244, 0.07419545948505402, -0.008810744620859623, -0.002850698074325919, -0.005797076039016247, -0.06223778426647186, -0.04147255793213844, 0.07974191755056381, -0.009401616640388966, -0.03829123452305794, 0.03607160970568657, -0.02106795832514763, -0.02244875207543373, -0.05022576078772545, -0.05514753609895706, -0.08331957459449768, -0.04172895848751068, 0.0049296231009066105, -0.07621420174837112, 0.08099191635847092, -0.01508102286607027, -0.010421592742204666, 0.031118808314204216, -0.017428968101739883, 0.006559671368449926, 0.035575222223997116, -0.0388098768889904, -4.695388997788541e-05, -0.026591958478093147, 0.05095846951007843, 0.0816875472664833, 0.02256835252046585, -0.0576600655913353, 0.04353027045726776, 0.04652510583400726, 0.04082243889570236, 0.022227613255381584, 0.10278995335102081, 0.044149868190288544, 0.06338783353567123, 0.05264244228601456, 0.03633992746472359, 0.021779358386993408, 0.03322897106409073, 0.10922858119010925, -0.012041855603456497, -0.06291963905096054, -2.880881488920295e-08, -0.003492757910862565, -0.0072141108103096485, -0.048460256308317184, -0.07526038587093353, 0.002916978904977441, -0.019055919721722603, 0.027666546404361725, 0.05745629593729973, -0.03256642445921898, -0.0007818518206477165, 0.037962913513183594, -0.0042868671007454395, 0.020801406353712082, -0.03118734620511532, 0.08842641115188599, -0.020044980570673943, 0.0582645982503891, 0.08924299478530884, -0.006278420798480511, 0.00609593978151679, 0.020476778969168663, -0.02324197068810463, 0.08226201683282852, -0.014360921457409859, -0.059467416256666183, 0.012251442298293114, 0.04303502291440964, -0.06359264254570007, -0.09536980837583542, 0.02931792289018631, -0.017646821215748787, 0.07627169042825699, -0.13252517580986023, 0.004598140716552734, -0.021490273997187614, 0.0639878660440445, 0.03260473534464836, 0.01412905566394329, 0.004063096828758717, -0.011348480358719826, 0.0638682022690773, 0.0798344686627388, -0.1021154373884201, 0.028730817139148712, 0.09018699079751968, 0.013896009884774685, 0.06922850012779236, -0.16477759182453156, -0.018849609419703484, -0.061773959547281265, -0.00957905687391758, -0.014535762369632721, -0.08455163240432739, -0.01668722927570343, 0.017999975010752678, 0.01676756702363491, 0.03327588364481926, -0.013261702843010426, -0.05394132807850838, 0.004201881121844053, 0.03297276422381401, 0.03130218759179115, 0.018449103459715843, 0.0430910661816597]"
Mission: Impossible - Dead Reckoning Part One,7.7,2023,PG-13,Action,Christopher McQuarrie,Tom CruiseHayley AtwellVing Rhames,81.0,163.0,Mission: Impossible - Dead Reckoning Part One 7.7 2023 Action Christopher McQuarrie Tom CruiseHayley AtwellVing Rhames 81.0,"[-0.06361318379640579, -0.020657029002904892, -0.011344324797391891, -0.02668003737926483, -0.02528955042362213, 0.017993614077568054, -0.04163867235183716, -0.007350691594183445, -0.0340779572725296, -0.03395574539899826, 0.019020026549696922, -0.043969906866550446, 0.029867416247725487, 0.017751887440681458, -0.07573206722736359, -0.019799161702394485, -0.012120501138269901, 0.014825115911662579, 0.04469626769423485, 0.0468926876783371, -0.023925524204969406, 0.06844335794448853, -0.034795161336660385, 0.06553742289543152, -0.012875334359705448, 0.01715613715350628, 0.019142938777804375, 0.010365686379373074, -0.10633547604084015, -0.06741885095834732, 0.0037964414805173874, 0.07993749529123306, -0.02360052429139614, -0.036197174340486526, 0.06456399708986282, 0.031175894662737846, 0.042300593107938766, -0.005903242621570826, 0.016627129167318344, -0.028869254514575005, -0.070276640355587, -0.04787907004356384, 0.08481410145759583, 0.03588303178548813, 0.005425913259387016, -0.018746724352240562, -0.008068143390119076, -0.060182079672813416, 0.060323525220155716, 0.018419727683067322, -0.09308628737926483, -0.037791065871715546, 0.03555605560541153, -0.07721906155347824, 0.0305659007281065, -0.004157191142439842, -0.03582390770316124, 0.005099890287965536, -0.0035161643754690886, -0.09986669570207596, -0.005484230816364288, -0.016438515856862068, -0.0010758348507806659, 0.017091093584895134, 0.039944134652614594, 0.0053088972344994545, -0.058771029114723206, -0.08344016224145889, 0.005159179214388132, 0.03695649653673172, -0.017333121970295906, -0.02319987118244171, 0.028319954872131348, -0.12343437969684601, 0.06379923224449158, -0.042244527488946915, 0.0064323097467422485, -0.013486485928297043, 0.03025062195956707, 0.006301930174231529, 0.05017386004328728, -0.15335634350776672, -0.0711958184838295, 0.06683184951543808, -0.012182088568806648, -0.044400740414857864, -0.019761303439736366, 0.05427799001336098, -0.009202073328197002, 0.04336084425449371, -0.1262647807598114, -0.04307088255882263, -0.06757480651140213, 0.08305026590824127, 0.010247865691781044, 0.02813427336513996, -0.03742767497897148, 0.021287623792886734, -0.07752975076436996, 0.027917474508285522, 0.016689905896782875, 0.016585199162364006, 0.012931635603308678, 0.01709217205643654, 0.019521327689290047, -0.023869989439845085, -0.004337559454143047, -0.022644944489002228, 0.028158992528915405, -0.08765485882759094, 0.006201558746397495, -0.04742193967103958, -0.05780351534485817, -0.04717762768268585, -0.029478542506694794, 0.03609529510140419, -0.001967584015801549, 0.07692719250917435, -0.05015558376908302, -0.02550688572227955, 0.062159422785043716, 0.045111462473869324, 0.04201735183596611, 0.011223282665014267, 0.026541797444224358, -0.022430505603551865, 0.11185972392559052, 6.566163037531507e-33, -0.028958536684513092, -0.006604701280593872, 0.03789949417114258, 0.0391470342874527, 0.05858379602432251, -0.012904705479741096, -0.10425490885972977, 0.011204954236745834, 0.002136880997568369, 0.011544185690581799, 0.0009854004019871354, -0.019049104303121567, -0.05481608211994171, -0.024053096771240234, 0.025155609473586082, -0.03327528014779091, 0.03014126606285572, -0.03641500324010849, -0.09575895220041275, -0.07119857519865036, 0.007714174687862396, -0.0025237703230232, -0.06963566690683365, -0.07869772613048553, 0.043139584362506866, 0.06695833802223206, 0.021135013550519943, 0.03359510377049446, 0.050916656851768494, 0.025376087054610252, -0.035416148602962494, 0.08221007138490677, -0.05679498240351677, 0.04671863093972206, 0.009648149833083153, -0.01567683555185795, -0.10169592499732971, -0.04657972604036331, -0.027553921565413475, 0.12831953167915344, -0.030396685004234314, 0.02205626294016838, -0.0035746528301388025, -0.09377966821193695, -0.10099221765995026, -0.01853582262992859, 0.08281459659337997, 0.03551684692502022, 0.09389219433069229, 0.12334035336971283, 0.05115082487463951, -0.0036879084073007107, -0.04465561360120773, 0.005062124691903591, 0.017726663500070572, -0.11131321638822556, -0.003995413891971111, -0.008044815622270107, 0.007525922730565071, -0.024336736649274826, 0.018647389486432076, -0.0791219025850296, 0.07722943276166916, -0.051033709198236465, -0.019343366846442223, 0.09175021946430206, -0.03978775069117546, -0.07861490547657013, 0.014358644373714924, 0.0640440508723259, -0.04039093479514122, -0.05097384750843048, 0.08721534162759781, -0.06325933337211609, 0.05669822543859482, 0.009990445338189602, -0.022265201434493065, -0.0024814552161842585, 0.006084047257900238, 0.021105719730257988, -0.030232105404138565, 0.037804946303367615, 0.029603173956274986, 0.039549753069877625, 0.04603215679526329, -0.019085334613919258, 0.00858506839722395, 0.004921505227684975, 0.012180264107882977, 0.02149958722293377, 0.0009003217564895749, -0.06023220717906952, -0.05408775061368942, 0.027270274236798286, -0.00803604256361723, -7.22342968353425e-33, -0.013773355633020401, 0.015508929267525673, 0.04561267048120499, 0.011871295049786568, 0.007346373982727528, -0.06639683246612549, 0.014808163978159428, 0.022312236949801445, 0.08495526015758514, -0.028638504445552826, -0.066452756524086, 0.01044776663184166, -0.012267419137060642, 0.05461982265114784, 0.024433592334389687, 0.010899684391915798, 0.052045926451683044, -0.016281042248010635, 0.0075033181346952915, 0.02766122855246067, 0.13781368732452393, -0.048648543655872345, -0.1305176168680191, -0.029845651239156723, 0.047474853694438934, 0.06864944100379944, 0.09323031455278397, 0.01047291699796915, 0.04062732309103012, -0.09651648253202438, -0.013647489249706268, -0.02624303102493286, -0.02852982096374035, 0.009181322529911995, -0.06311383098363876, 0.13813498616218567, 0.034353774040937424, 0.09608299285173416, -0.04527130722999573, -0.043846581131219864, 0.06871098279953003, 0.03904002904891968, -0.0894855335354805, 0.06565775722265244, 0.004282285459339619, -0.031221462413668633, 0.05606025457382202, 0.07694412022829056, -0.03377737104892731, 0.018418017774820328, -0.07491976022720337, 0.052318181842565536, -0.015794148668646812, -0.009522940963506699, -0.029274551197886467, 0.08939071744680405, -0.04946834221482277, -0.03724683076143265, 0.11912424117326736, -0.05693700909614563, 0.025445178151130676, -0.008893383666872978, -0.08242706209421158, 0.01502965111285448, -0.05302266404032707, 0.03434973955154419, -0.06665439158678055, 0.04813709855079651, -0.034449830651283264, 0.07852926105260849, -0.031861841678619385, 0.013711241073906422, -0.04203552007675171, -0.06535878032445908, 0.0351066067814827, -0.03186109662055969, -0.043247535824775696, -0.0007416120497509837, 0.05423596128821373, -0.02556696906685829, 0.059432875365018845, -0.07152386009693146, 0.04630786553025246, 0.09007109701633453, 0.05233297497034073, 0.05508888512849808, 0.014365540817379951, 0.047117870301008224, 0.03645829111337662, -0.009828124195337296, -0.01582523249089718, 0.058173708617687225, 0.0041403681971132755, 0.010703700594604015, -0.027976050972938538, -3.348764110455704e-08, -0.020863868296146393, -0.013381526805460453, -0.053346820175647736, -0.06515593826770782, 0.039355888962745667, 0.043468501418828964, 0.07760908454656601, 0.06002906709909439, -0.007445671129971743, 0.08156848698854446, 0.03157540038228035, -0.028789494186639786, 0.003338834038004279, -0.017838576808571815, -0.035256776958703995, 0.04566650092601776, -0.015255865640938282, 0.03167242929339409, -0.04342438653111458, 0.015816766768693924, -0.010653883218765259, 0.033022332936525345, -0.0019463930511847138, -0.05445973575115204, 0.0346536859869957, 0.08123402297496796, 0.006455006077885628, 0.06967999041080475, -0.04543018341064453, 0.04756803438067436, -0.005425415467470884, 0.014779146760702133, -0.06655669212341309, 0.030213871970772743, -0.10375089943408966, -0.05446695163846016, 0.027025718241930008, 0.12163275480270386, -0.04072518274188042, -0.1074659526348114, -0.014812525361776352, 0.05404478684067726, -0.07183435559272766, 0.053288139402866364, 0.02805352956056595, -0.04667472094297409, -0.018764585256576538, -0.09246279299259186, -0.015036607161164284, -0.08533340692520142, 0.01660321094095707, 0.0005519551341421902, -0.03268500789999962, 0.07632938772439957, 0.13258753716945648, 0.07528381794691086, 0.038564588874578476, 0.007406786549836397, -0.06765115261077881, 0.05445060878992081, -0.006745849270373583, -0.0372919887304306, -0.06253797560930252, -0.02909228391945362]"
Rebel Moon - Part Two: The Scargiver,5.2,2024,PG-13,Action,Zack Snyder,Zack SnyderKurt JohnstadShay Hatten,35.0,122.0,Rebel Moon - Part Two: The Scargiver 5.2 2024 Action Zack Snyder Zack SnyderKurt JohnstadShay Hatten 35.0,"[-0.0735774114727974, -0.027145566418766975, 0.0518435575067997, -0.006949101574718952, 0.04854054003953934, -0.018392039462924004, 0.060236815363168716, -0.01135463546961546, -0.009927554056048393, 0.04150524362921715, 0.0292974803596735, 0.02497934177517891, -0.006687911227345467, 0.04323893040418625, -0.008153955452144146, -0.02427719347178936, 0.036681950092315674, 0.06328152865171432, 0.013957889750599861, -0.019410694018006325, 0.043325088918209076, 0.011121399700641632, 0.10395488142967224, 0.0271267369389534, -0.02347492426633835, 0.006105214823037386, 0.018415113911032677, 0.013206467032432556, -0.08909543603658676, -0.03583208844065666, 0.0006203628145158291, 0.01214394811540842, -0.10454519838094711, -0.005276861600577831, -0.0007325116312131286, 0.006185190752148628, -0.020864294841885567, 0.00913927610963583, -0.0028856985736638308, -0.049478258937597275, -0.09174781292676926, -0.07387293875217438, -0.01219858042895794, -0.034045930951833725, 0.016913607716560364, -0.0029310835525393486, -0.0011575950775295496, -0.11071950197219849, 0.020125318318605423, 0.008313675411045551, -0.022253530099987984, -0.043113771826028824, -0.004079288803040981, -0.033652130514383316, 0.01802903600037098, -0.10891751199960709, -0.07795899361371994, -0.039166808128356934, 0.07595096528530121, -0.029293188825249672, 2.536704414524138e-05, -0.0236262958496809, -0.02528722770512104, 0.011624597012996674, 0.07886071503162384, -0.06522150337696075, -0.009355179965496063, -0.048099689185619354, -0.02132183499634266, -0.05251017212867737, -0.057920169085264206, -0.009162550792098045, 0.007258924189954996, -0.1066010370850563, -0.08581588417291641, -0.0408402718603611, 0.0687595009803772, -0.004530374426394701, 0.018666621297597885, -0.05107980594038963, 0.063961923122406, -0.11636970937252045, 0.028117768466472626, 0.028431987389922142, -0.003459319705143571, 0.10963969677686691, 0.03433316573500633, 0.07289361953735352, 0.006124439649283886, 0.09384965151548386, -0.1177273541688919, -0.014090272597968578, 0.04898696392774582, 0.12777534127235413, -0.09161239862442017, -0.03170051425695419, -0.027163228020071983, -0.014736691489815712, -0.04529549181461334, 0.10316740721464157, -0.02404685504734516, -0.07783957570791245, 0.0637342780828476, -0.06641244143247604, 0.08933208882808685, -0.07129689306020737, 0.044281069189310074, -0.04199043661355972, -0.03601265698671341, -0.007913890294730663, -0.015708468854427338, -0.03791162744164467, -0.06728676706552505, 0.06784939020872116, 0.10800780355930328, -0.061766430735588074, -0.007074060849845409, 0.06618963181972504, 0.07704994082450867, 0.0013126765843480825, 0.11529061198234558, 0.051504842936992645, 0.022266609594225883, -0.0003457468992564827, -0.03606307506561279, -0.040013913065195084, 0.0018688468262553215, 3.53545391107356e-33, 0.029784705489873886, 0.0415278859436512, 0.08146753162145615, 0.0036162210162729025, 0.030693979933857918, -0.04012203961610794, -0.013606894761323929, 0.0962565690279007, -0.08646909147500992, 0.05131642520427704, -0.03644087538123131, -0.09082996100187302, -0.0075226170010864735, 0.06600195914506912, -0.02875628136098385, 0.02671244367957115, 0.02115638740360737, -0.041650690138339996, 0.07181378453969955, 0.016047000885009766, -0.09927467256784439, 0.09906551986932755, -0.08629349619150162, -0.022025754675269127, 0.0467187725007534, 0.019773779436945915, -0.04589701443910599, -0.0021471427753567696, 0.001726397662423551, 0.053891122341156006, -0.058869149535894394, 0.04408365860581398, 0.059031542390584946, -0.014535626396536827, 0.1395513266324997, -0.005425692535936832, 0.026335395872592926, -0.04814642667770386, -0.05505363643169403, -0.009286032989621162, 0.05285186693072319, -0.015045162290334702, -0.14544686675071716, 0.04112648591399193, -0.04715606942772865, 0.03623059019446373, 0.047886062413454056, 0.04101463407278061, 0.025156820192933083, 0.14061662554740906, 0.020086565986275673, 0.04874914139509201, -0.037776730954647064, 0.003228219924494624, -0.004180341958999634, -0.04395260289311409, -0.035688672214746475, -0.06558840721845627, 0.0796937569975853, 0.0007499500643461943, -0.007101621013134718, -0.0007716174004599452, -0.028527505695819855, -0.03634650260210037, 0.028644926846027374, 0.04241817072033882, 0.007754556834697723, -0.028627527877688408, -0.01672649383544922, -0.030497509986162186, -0.061623018234968185, -0.027564730495214462, 0.06362656503915787, -0.045303165912628174, 0.055197373032569885, -0.01803896576166153, -0.0318509042263031, -0.0017787134274840355, -0.006193346809595823, -0.022346466779708862, -0.12505124509334564, 0.009598428383469582, 0.005080379545688629, 0.017955003306269646, 0.025843916460871696, 0.0025727266911417246, 0.011610202491283417, -0.021834349259734154, 0.025022683665156364, -0.029125284403562546, 0.0322725735604763, -0.09142039716243744, 0.025711409747600555, 0.034772612154483795, -0.014080500230193138, -4.799938327040879e-33, 0.07483699917793274, 0.00015024348977021873, -0.09141623228788376, 0.008471286855638027, 0.06597813963890076, 0.02059459500014782, -0.11144930124282837, 0.05226515233516693, 0.000551516015548259, -0.009384888224303722, -0.011735635809600353, -0.01835196278989315, -0.009276923723518848, 0.01966281607747078, -0.0005600388976745307, -0.052206702530384064, 0.015225397422909737, -0.03865307942032814, 0.03447415307164192, 0.09779565781354904, 0.12120035290718079, 0.031782642006874084, 0.006749753374606371, 0.0018006087047979236, -0.0013089755084365606, 0.07502882182598114, 0.059880442917346954, 0.07049120217561722, -0.02295106090605259, 0.00650694128125906, -0.03394145891070366, -0.039192426949739456, 0.07439994066953659, -0.027096936479210854, -0.045389655977487564, 0.03459581360220909, 0.002727263607084751, -0.03419443964958191, -0.02167011983692646, -0.02273435704410076, -0.00807226076722145, -0.040991540998220444, -0.054248448461294174, 0.030527491122484207, -0.019117025658488274, -0.0014558625407516956, 0.06677737087011337, 0.1443747580051422, -0.011673112399876118, 0.005701826885342598, -0.04492910951375961, -0.0008157461415976286, -0.053962934762239456, -0.07051020115613937, -0.03954831138253212, 0.039019469171762466, -0.009150446392595768, -0.021315811201930046, 0.06970804929733276, 0.04296416416764259, -0.051521871238946915, -0.01680944301187992, -0.0015405102167278528, -0.00919895526021719, 0.030474014580249786, 0.025929182767868042, -0.031271111220121384, -0.0033405176363885403, -0.011020961217582226, 0.008239001967012882, -0.08019769936800003, -0.03704419732093811, 0.011775174178183079, -0.009429218247532845, -0.022337086498737335, -0.05398283526301384, 0.09179645031690598, -0.001846852945163846, 0.07923422008752823, 0.015802869573235512, -0.009160201996564865, 0.03234494477510452, -0.022211356088519096, 0.04347594827413559, 0.04134678840637207, 0.10056719928979874, -0.023278681561350822, 0.013686437159776688, -0.01851886510848999, -0.005190776661038399, 0.017011145129799843, 0.04229407384991646, 0.031007729470729828, -0.0001437292667105794, -0.05551411584019661, -2.7757792508964485e-08, 0.021495364606380463, 0.06451942771673203, -0.09073230624198914, -0.11551038920879364, -0.01945834420621395, 0.07091499119997025, -0.0031711463816463947, 0.026617087423801422, 0.04689468815922737, 0.06725770235061646, 0.06438835710287094, 0.04824146628379822, 0.06577260047197342, 0.038982052356004715, -0.08544417470693588, 0.03591286391019821, -0.020541716367006302, 0.004686091095209122, -0.047402653843164444, -0.05964799225330353, -0.02900690585374832, -0.0524517260491848, 0.04754885658621788, -0.07108460366725922, 0.00798055250197649, 0.03849151358008385, -0.02613377571105957, -0.020277228206396103, -0.024309657514095306, 0.043793510645627975, -0.05685138329863548, 0.04009481891989708, -0.03991837054491043, -0.047131579369306564, -0.03646300733089447, -0.0461108572781086, 0.01568048819899559, -0.055335983633995056, 0.006453753914684057, -0.030120210722088814, 0.08826544880867004, 0.052368320524692535, 0.02495300956070423, 0.03151960298418999, 0.029330987483263016, 0.009187156334519386, 0.09785908460617065, -0.15068763494491577, 0.0209183432161808, -0.07817879319190979, -0.02715592086315155, 0.026756519451737404, -0.05681436508893967, 0.01709911972284317, 0.05030064284801483, 0.07260806858539581, 0.02557218261063099, 0.01644470915198326, -0.07791703194379807, -0.02256035804748535, 0.05574949085712433, -0.09067542105913162, -0.0564630851149559, 0.005980049259960651]"
